id,Age,Attrition,BusinessTravel,DailyRate,Department,Education,JobRole,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance
12378,35,Yes,Travel_Frequently,502,S,a,l,5,4,F,48,4,2,5,Divorced,9200,10448,2,Y,Yes,5,1,80,1
12379,42,No,Non-Travel,497,S,a,l,3,3,F,50,4,3,5,Single,10719,9049,3,Y,No,7,2,80,4
12380,34,No,Non-Travel,505,T,e,c,4,3,M,46,2,3,5,Single,9843,9941,3,Y,No,10,3,80,1
12381,43,No,Non-Travel,493,T,e,c,5,2,F,48,3,1,5,Divorced,12077,10150,5,Y,Yes,1,3,80,4
12382,43,Yes,Travel_Rarely,536,R,e,s,4,4,M,53,2,3,2,Single,10486,10008,2,Y,No,9,1,80,3
12383,44,No,Non-Travel,511,S,a,l,6,2,F,49,4,2,2,Married,10512,9021,4,Y,Yes,9,2,80,3
12384,51,No,Non-Travel,527,T,e,c,6,3,F,49,4,3,3,Single,11769,9672,2,Y,No,17,1,80,3
12385,49,No,Non-Travel,516,R,e,s,2,3,F,49,4,3,3,Married,11628,9242,3,Y,No,4,1,80,2
12386,40,Yes,Travel_Frequently,504,S,a,l,4,3,F,49,4,1,4,Divorced,9849,12045,2,Y,No,22,1,80,3
12387,38,No,Non-Travel,496,S,a,l,5,4,F,49,4,1,5,Married,9666,10949,3,Y,No,17,3,80,3
12388,42,No,Travel_Rarely,490,R,e,s,3,3,F,50,4,3,4,Married,10692,8043,4,Y,Yes,14,2,80,1
12389,30,No,Non-Travel,510,T,e,c,2,3,M,48,3,1,2,Married,11448,10020,2,Y,No,11,3,80,3
12390,65,No,Non-Travel,505,T,e,c,4,4,M,50,2,1,2,Married,9714,11179,2,Y,No,10,3,80,2
12391,39,No,Non-Travel,507,S,a,l,3,3,M,53,4,3,5,Single,10215,11106,4,Y,Yes,11,1,80,3
12392,28,No,Non-Travel,483,T,e,c,4,2,M,44,3,3,2,Divorced,10242,10723,3,Y,No,3,3,80,3
12393,30,No,Non-Travel,492,T,e,c,3,3,F,51,4,2,2,Married,10057,11020,1,Y,No,5,2,80,3
12394,36,No,Travel_Rarely,486,S,a,l,6,4,M,48,4,3,5,Divorced,10442,9681,2,Y,No,14,3,80,3
12395,60,No,Non-Travel,494,S,a,l,4,4,F,49,4,3,5,Single,7969,7797,1,Y,No,10,2,80,2
12396,50,No,Non-Travel,495,R,e,s,6,4,M,48,4,2,3,Married,8773,10747,2,Y,No,7,2,80,2
12397,38,No,Non-Travel,503,R,e,s,2,2,M,48,4,2,2,Divorced,10564,11221,1,Y,Yes,11,3,80,2
12398,59,No,Travel_Rarely,495,R,e,s,7,4,F,48,3,2,5,Single,10991,8530,2,Y,No,5,2,80,2
12399,50,No,Non-Travel,512,S,a,l,1,4,F,51,3,3,5,Single,11139,12263,2,Y,No,9,1,80,4
12400,38,No,Travel_Frequently,488,T,e,c,1,3,F,44,3,2,3,Divorced,11318,12252,3,Y,No,16,3,80,1
12401,61,No,Non-Travel,488,S,a,l,3,4,F,49,4,1,5,Divorced,11138,10088,3,Y,No,15,1,80,2
12402,30,No,Travel_Frequently,481,S,a,l,6,5,M,46,5,3,3,Divorced,9564,11622,3,Y,No,9,2,80,4
12403,36,Yes,Travel_Rarely,494,R,e,s,6,4,M,47,2,1,5,Married,10157,10975,4,Y,Yes,10,3,80,3
12404,40,Yes,Non-Travel,493,R,e,s,4,4,F,46,3,3,2,Married,9935,11655,2,Y,Yes,4,1,80,3
12405,39,No,Non-Travel,510,T,e,c,7,4,F,47,3,2,4,Divorced,9429,11428,1,Y,No,10,2,80,2
12406,50,Yes,Non-Travel,482,R,e,s,6,4,M,48,2,1,3,Married,10204,8678,3,Y,No,4,2,80,2
12407,42,No,Non-Travel,497,S,a,l,1,4,F,49,4,3,5,Single,9212,10217,2,Y,No,3,3,80,2
12408,45,No,Non-Travel,499,T,e,c,4,2,M,49,2,1,3,Single,10071,10071,4,Y,No,9,4,80,3
12409,52,No,Non-Travel,510,R,e,s,4,3,F,48,2,2,5,Single,9433,11038,3,Y,Yes,9,3,80,1
12410,33,No,Non-Travel,502,T,e,c,1,4,F,53,4,1,5,Married,11482,9999,1,Y,No,11,3,80,3
12411,37,No,Non-Travel,505,S,a,l,2,4,F,49,3,2,3,Single,9579,10182,3,Y,No,7,2,80,2
12412,41,No,Non-Travel,503,S,a,l,2,3,F,48,4,2,4,Married,9042,10549,1,Y,No,11,2,80,3
12413,43,No,Non-Travel,487,S,a,l,8,5,M,50,5,1,5,Married,9400,8270,2,N,No,6,2,80,2
12414,41,No,Non-Travel,504,T,e,c,4,4,F,47,3,3,4,Married,10071,11162,1,Y,No,3,3,80,2
12415,50,No,Travel_Frequently,503,S,a,l,9,3,M,47,4,1,5,Single,9073,6908,3,Y,No,14,2,80,2
12416,48,No,Non-Travel,489,R,e,s,4,3,F,50,3,1,2,Married,9385,10291,4,Y,Yes,11,2,80,3
12417,36,No,Non-Travel,503,T,e,c,6,2,F,51,3,2,4,Single,12037,7820,2,Y,No,2,3,80,3
12418,19,No,Non-Travel,500,S,a,l,4,3,M,50,4,2,5,Married,10402,9810,2,Y,No,19,1,80,2
12419,39,No,Non-Travel,501,R,e,s,6,3,M,50,4,2,4,Married,10050,8459,3,Y,No,14,1,80,2
12420,33,No,Non-Travel,497,S,a,l,4,4,F,50,4,2,3,Married,10470,9237,3,Y,No,1,1,80,4
12421,39,No,Non-Travel,516,S,a,l,4,5,M,47,2,3,2,Married,10321,10701,2,Y,Yes,16,3,80,3
12422,43,No,Travel_Frequently,507,S,a,l,5,4,M,51,3,3,3,Married,7717,8724,2,Y,Yes,16,1,80,1
12423,45,No,Non-Travel,499,S,a,l,7,4,M,50,4,1,2,Single,11039,10279,2,Y,No,6,3,80,3
12424,36,No,Non-Travel,502,R,e,s,7,4,M,48,3,3,5,Single,10703,10556,4,Y,Yes,1,2,80,3
12425,25,No,Non-Travel,490,S,a,l,3,4,F,51,3,1,4,Married,9703,9772,3,Y,No,8,1,80,1
12426,47,No,Non-Travel,518,S,a,l,4,2,M,47,4,2,4,Divorced,10365,9647,2,Y,No,8,2,80,4
12427,42,No,Non-Travel,507,T,e,c,7,2,F,51,5,3,4,Married,10343,8202,2,Y,No,9,3,80,3
12428,42,Yes,Non-Travel,466,T,e,c,5,4,F,48,3,2,2,Single,9763,8469,2,Y,Yes,8,3,80,3
12429,47,No,Non-Travel,519,R,e,s,0,4,M,45,3,3,2,Married,9437,10585,3,Y,No,15,2,80,1
12430,34,No,Non-Travel,491,R,e,s,3,4,M,49,4,2,2,Single,11335,11412,3,Y,No,4,2,80,3
12431,57,No,Non-Travel,491,S,a,l,3,3,F,52,3,3,3,Married,9087,9071,2,Y,No,9,1,80,2
12432,31,No,Non-Travel,499,T,e,c,3,2,F,49,3,3,5,Divorced,10750,9801,2,Y,Yes,8,2,80,2
12433,64,Yes,Non-Travel,489,S,a,l,3,4,F,51,4,1,2,Married,10777,9917,1,Y,Yes,4,1,80,3
12434,45,No,Non-Travel,507,T,e,c,2,2,F,51,4,2,5,Married,11290,10705,1,Y,No,12,2,80,2
12435,39,No,Non-Travel,520,S,a,l,2,3,F,49,4,1,2,Single,10385,9555,3,Y,No,9,1,80,3
12436,15,No,Non-Travel,504,R,e,s,1,3,M,45,3,1,5,Married,10729,10859,0,Y,No,17,3,80,2
12437,45,No,Travel_Frequently,493,R,e,s,8,3,F,53,3,2,2,Married,9102,10125,1,Y,No,17,3,80,2
12438,50,No,Non-Travel,505,R,e,s,4,4,F,55,2,2,3,Single,9926,9246,2,Y,No,15,2,40,3
12439,46,Yes,Non-Travel,508,R,e,s,7,2,M,49,5,1,4,Married,8591,11253,3,Y,Yes,6,2,80,3
12440,33,No,Travel_Frequently,490,S,a,l,8,5,F,50,4,1,3,Single,10978,10710,2,Y,Yes,3,1,80,3
12441,49,No,Non-Travel,506,R,e,s,4,4,M,50,4,3,5,Single,11952,9512,3,Y,No,4,3,80,1
12442,57,Yes,Non-Travel,490,S,a,l,5,3,M,48,3,2,5,Married,8112,10494,4,Y,Yes,0,3,80,2
12443,31,No,Non-Travel,495,R,e,s,4,4,F,52,5,3,2,Married,10052,11852,3,Y,No,10,2,80,4
12444,58,Yes,Non-Travel,502,R,e,s,4,5,F,50,2,3,5,Married,9702,11793,3,Y,No,8,4,80,3
12445,37,Yes,Non-Travel,497,T,e,c,5,4,F,53,3,2,2,Single,9534,11318,0,Y,Yes,7,1,80,2
12446,41,No,Travel_Rarely,504,R,e,s,5,4,M,50,3,2,2,Married,9079,10471,3,Y,No,10,1,80,4
12447,52,No,Non-Travel,497,T,e,c,4,4,F,51,2,1,2,Divorced,8814,7399,4,Y,No,7,3,80,2
12448,38,No,Non-Travel,503,T,e,c,6,5,M,50,2,1,4,Divorced,11899,8482,3,Y,No,10,2,80,2
12449,49,No,Non-Travel,491,T,e,c,5,3,F,49,3,3,4,Married,11628,10702,4,Y,No,18,3,80,2
12450,37,No,Non-Travel,492,T,e,c,5,4,M,52,5,3,5,Single,10335,10394,2,Y,No,14,2,80,2
12451,33,No,Travel_Frequently,516,R,e,s,3,3,M,53,4,1,5,Married,9118,9853,4,Y,No,11,3,80,3
12452,43,Yes,Non-Travel,491,T,e,c,5,4,F,49,4,1,2,Married,9420,12018,2,Y,Yes,6,3,80,3
12453,51,Yes,Non-Travel,503,T,e,c,5,5,M,50,5,3,2,Married,10192,11267,2,Y,Yes,6,1,80,3
12454,49,No,Non-Travel,492,T,e,c,5,4,F,50,2,3,4,Married,10632,9822,3,Y,No,9,2,80,3
12455,35,No,Non-Travel,505,S,a,l,7,2,M,48,3,1,3,Married,9145,9655,1,N,Yes,11,2,80,3
12456,40,No,Non-Travel,491,S,a,l,7,4,F,51,4,1,3,Single,11578,9958,3,Y,Yes,13,2,80,3
12457,35,No,Non-Travel,513,R,e,s,5,3,M,49,3,2,2,Married,9106,10543,2,N,No,10,3,80,2
12458,36,No,Travel_Frequently,507,R,e,s,6,5,M,48,2,1,5,Married,9377,10337,2,Y,No,17,3,80,3
12459,39,No,Non-Travel,480,S,a,l,5,5,M,53,4,2,4,Single,11279,9247,2,Y,Yes,5,1,80,3
12460,43,No,Travel_Rarely,471,S,a,l,3,4,F,47,3,2,5,Married,10995,11588,3,Y,No,9,3,80,3
12461,38,No,Non-Travel,501,T,e,c,8,3,F,48,4,3,5,Married,10263,11160,1,Y,No,5,3,80,1
12462,33,No,Non-Travel,489,R,e,s,3,3,F,48,4,1,5,Married,8694,8979,0,Y,No,10,2,80,2
12463,35,No,Non-Travel,476,T,e,c,6,4,F,48,4,2,3,Married,11200,11223,3,Y,No,17,2,80,4
